search_group,candidate_idx,target,seed,matched_target,predicted_target,predicted_objective,predicted_rmse,predicted_gap,familiar_transition,novel_transition,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_naive,occlusion_novel_naive,full_novel_expert,occlusion_novel_expert
standard,19,FF_FB_broad,37,True,FF_FB_broad,0.39447580352425576,0.4900449216365814,0.5695615112781525,FF -> FF,FF -> FF,0.4269775450229645,0.30671364068984985,0.043760981410741806,0.05253808572888374,0.30484738945961,0.20145101845264435,0.2154974341392517,0.4670303761959076,0.043399160852034886,0.004349972230071822,0.0302247683207194,0.012246565148234367,0.033411106715599694,0.007022440247237682,0.04074952316780885,0.01199596660832564
standard,4,FF_FB_narrow_familiar,11,True,FF_FB_narrow_familiar,-0.1397774011134364,0.11379150301218033,2.313275414256107,FF -> FF,unresponsive -> unresponsive,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.07661977832516034,0.00036653939362925786,0.05126508399844169,0.002251984093648692,8.264662440827427e-05,1.7112123411304008e-05,1.546965609122708e-06,0.001017763636385401
standard,4,FF_FB_narrow_familiar,23,True,FF_FB_narrow_familiar,-0.0974294066176905,0.14700660109519958,2.2659955322238,FF -> FF,unresponsive -> unresponsive,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.07643776933352152,0.0002823232731316239,0.047939311464627585,0.0034859235243250926,0.0,0.0009757820060864712,0.0001860037921384598,0.0011832949356175959
standard,4,FF_FB_narrow_familiar,37,True,FF_FB_narrow_familiar,-0.18572828475347097,0.07477963715791702,2.3325993603211828,FF -> FF,unresponsive -> unresponsive,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.07617380047837893,9.617400104010206e-05,0.0565403088927269,0.0033344428210208815,0.0006705580172517027,0.00033569807225527863,0.0017895903981601199,0.0009942671458702534
standard,13,FF_FB_narrow_familiar,11,True,FF_FB_narrow_familiar,0.010149161579708271,0.2432386875152588,1.9732093690584103,FF -> FF,unresponsive -> unresponsive,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411,0.08044327795505524,0.002679877309128642,0.05607153549790382,0.006301160001506408,0.006407883670181036,0.007830657282223303,0.008607983930657308,0.01213939320296049
standard,13,FF_FB_narrow_familiar,23,True,FF_FB_narrow_familiar,0.054515337447325396,0.2781542241573334,1.8829833179712296,FF -> FF,unresponsive -> unresponsive,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411,0.07881222143769265,0.0028975294437259434,0.055594578633705774,0.00742565660427014,0.007178098615258932,0.009641177020967007,0.01183051262050867,0.012946179695427417
standard,13,FF_FB_narrow_familiar,37,True,FF_FB_narrow_familiar,0.03706526172657809,0.2682981491088867,1.9192486164470515,FF -> FF,unresponsive -> unresponsive,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411,0.08067827820777893,0.0017046933062374592,0.05597849488258362,0.005930680657426516,0.006540899941076835,0.00814945629487435,0.01149832500765721,0.012890873104333877
standard,22,FF_FB_narrow_familiar,11,True,FF_FB_narrow_familiar,0.8731075899675488,1.3899425268173218,1.8402745451778175,FF -> FF,unresponsive -> unresponsive,1.2232346534729004,0.005727927666157484,0.019861357286572456,0.009680446237325668,0.30938759446144104,0.7193135619163513,0.46244069933891296,0.9874066710472107,0.15981083114941916,0.00047381119802594187,0.10010738770167033,0.004010126010204355,0.0003668652459358176,0.00011492704215925187,0.00021116716993484867,0.001133885180267195
standard,22,FF_FB_narrow_familiar,23,True,FF_FB_narrow_familiar,0.824255368175606,1.3241207599639893,1.8593079565713801,FF -> FF,unresponsive -> unresponsive,1.2232346534729004,0.005727927666157484,0.019861357286572456,0.009680446237325668,0.30938759446144104,0.7193135619163513,0.46244069933891296,0.9874066710472107,0.15606249372164407,0.0011714894169320663,0.0970710908373197,0.005486564384773374,5.440899452272182e-05,0.0012388597475364803,0.00024979815158682563,0.0019620289172356327
standard,22,FF_FB_narrow_familiar,37,True,FF_FB_narrow_familiar,0.8985336344223469,1.407849669456482,1.7552693087297182,FF -> FF,unresponsive -> unresponsive,1.2232346534729004,0.005727927666157484,0.019861357286572456,0.009680446237325668,0.30938759446144104,0.7193135619163513,0.46244069933891296,0.9874066710472107,0.15981796632210413,0.0007625018828548491,0.10287152181069056,0.005584729338685672,0.0034244346354777616,0.00048393188238454363,0.004607035980249445,0.002088273239011566
