candidate_idx,candidate_uid,search_group,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,lr_ff,lr_fb,lr_lat,lr_pv,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,full_familiar_expert2,occlusion_familiar_expert2,full_novel_expert2,occlusion_novel_expert2,assigned_target,assigned_objective,assigned_prototype_rmse,assigned_phase_category_mismatches,second_target,second_objective,objective_margin,familiar_naive_state,familiar_expert_state,familiar_expert2_state,novel_naive_state,novel_expert_state,novel_expert2_state,familiar_state_delta,familiar_continuation_delta,novel_state_delta,novel_continuation_delta,delta_full_familiar_expert,delta_occlusion_familiar_expert,delta_full_novel_expert,delta_occlusion_novel_expert,delta_full_familiar_expert2,delta_occlusion_familiar_expert2,delta_full_novel_expert2,delta_occlusion_novel_expert2,familiar_primary_transition,novel_primary_transition,familiar_naive_category,familiar_expert_category,familiar_expert2_category,novel_naive_category,novel_expert_category,novel_expert2_category,objective__FF_FB_broad,rmse__FF_FB_broad,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,objective__FB_FB,rmse__FB_FB,objective__FF_un,rmse__FF_un,pca1,pca2,pca3,tsne1,tsne2
48,standard::48,standard,0.0006087678060181843,0.015759639716006205,0.010712110813604818,0.1003964377775507,0.017160056792711587,0.22406200708826093,0.02653266241116082,0.08756197121274586,0.0570534264940473,0.018469210847801038,0.02087180056252127,0.00012935605407130032,0.001680634677177295,0.0027230761596001686,0.0011363879923010245,0.021655199583619833,0.024406299367547034,0.029203429259359835,0.005990682251285762,0.04123052516952157,0.10869248043745756,0.11741063073277473,0.05999671425670385,0.09864532202482224,FB_FB,7.743727835629949,6.6437278356299485,2,FF_FB_narrow_novel,8.53160900001697,0.7878811643870218,0.0,-0.029203429259359835,-0.008718150295317167,0.0,-0.04123052516952157,-0.03864860776811838,-0.029203429259359835,0.020485278964042668,-0.04123052516952157,0.0025819174014031845,0.02272566469036974,0.026480353099759667,0.004854294258984738,0.019575325585901734,0.08428618106991054,0.0882072014734149,0.05400603200541809,0.05741479685530067,unresponsive -> FB,unresponsive -> FB,unresponsive,FB,FB,unresponsive,FB,FB,8.76441851085259,6.26441851085259,8.930904047739917,6.7809040477399165,8.53160900001697,6.3816090000169705,8.721985191981036,6.921985191981036,7.743727835629949,6.6437278356299485,,,-0.3218518682273032,-0.47779881193366397,1.0086789110054497,-16.163471,26.189436
49,standard::49,standard,0.12600103256036646,0.002899537163905207,1.3094523240501414,0.00011704105640839269,0.011410793577608453,0.00020647398308179307,0.003549502124185736,0.0036464678396601643,0.0006872544345728827,0.00012204057780376846,0.00035999142895764365,0.00553659894049336,0.3107438780367374,0.2620675928890705,7.12126297003124e-05,0.006386915501207113,0.28420783653855325,0.2580148451030254,0.001169129615300335,0.006633326469454914,0.27503693625330927,0.25448049083352087,0.000569683441426605,0.007318893575575203,FF_FB_narrow_familiar,4.275750130427345,4.275750130427345,0,FF_FB_broad,5.778945445571991,1.5031953151446462,0.04867628514766692,0.026192991435527835,0.020556445419788405,0.0,0.0,0.0,-0.022483293712139085,-0.00563654601573943,0.0,0.0,-0.02653604149818417,-0.0040527477860450856,0.0010979169856000226,0.00024641096824780124,-0.009170900285243977,-0.003534354269504547,-0.0005994461738737301,0.0006855671061202885,FF -> FF,unresponsive -> unresponsive,FF,FF,FF,unresponsive,unresponsive,unresponsive,5.778945445571991,4.528945445571991,4.275750130427345,4.275750130427345,7.4004014011179,4.9004014011179,5.970365100727236,4.720365100727236,6.890457449797297,4.390457449797297,,,-1.331071011015736,1.8904260748540103,-1.5410849686416608,2.9263053,28.835186
50,standard::50,standard,0.017028214147918535,0.08110105317065648,0.014999013280728892,0.0010826976486257192,0.0020091045009698947,0.0013273147225719884,0.1319476217066091,0.01707065475802242,0.015116565175976284,0.0026340259910044746,0.02836496148543413,0.01511136951948301,0.009757242654450238,0.0035304854391142726,0.017859273683279754,0.001860157266492024,0.008436332480050624,0.008307315595448016,0.01959703490138054,0.0031236034352332353,0.020971447322517635,0.02048033461906016,0.028835503756999968,0.011262419004924595,un_FB,1.391981319940681,1.0419813199406809,1,FF_FB_narrow_novel,2.3399238430792626,0.9479425231385816,0.0,0.0,0.0,0.0,0.0,0.028835503756999968,0.0,0.0,0.0,0.028835503756999968,-0.0013209101743996143,0.004776830156333744,0.0017377612181007848,0.0012634461687412112,0.012535114842467011,0.012173019023612144,0.00923846885561943,0.008138815569691359,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,FF,3.5476305882324786,1.3976305882324787,2.964775321840767,1.3647753218407668,2.3399238430792626,1.4399238430792625,1.391981319940681,1.0419813199406809,4.265225392923262,1.765225392923262,,,-0.6495121674613933,0.9409390605802469,3.0167273732078512,-13.789605,1.0431135
51,standard::51,standard,0.00020821857918610959,0.010736673308777516,0.00016125033863112018,0.021775787131246095,0.10174284252393631,0.034430583101533165,0.009509751060051495,0.010001000252662207,0.0024773022778926982,0.0007524080780252852,0.0014305033948685507,0.00037543344519149423,0.0016758810495957732,0.0017770466452930122,0.001228455180535093,0.0057283469010144476,0.001364574470790103,0.0025963790598325432,0.0014899701694957913,0.006847912003286183,0.000986439103144221,0.005495236639399081,0.004005824972409755,0.00865062850061804,un_FB,0.33220647993101243,0.33220647993101243,0,FF_FB_narrow_familiar,2.400178164831939,2.0679716849009266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003113065788056702,0.000819332414539531,0.0002615149889606983,0.0011195651022717357,-0.000378135367645882,0.002898857579566538,0.0025158548029139637,0.0018027164973318573,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,4.047595166361972,1.5475951663619716,2.400178164831939,1.1501781648319391,2.685221139413989,1.4352211394139889,0.33220647993101243,0.33220647993101243,4.063981589590953,1.5639815895909528,,,-1.5040013160942107,0.07767520590242939,-0.7558900561919888,-5.722037,10.331371
52,standard::52,standard,0.004738234958305834,0.8249593972419123,0.5446178095096723,0.007671295935671829,0.3382243608594848,1.0523478876947525,0.24479421410265276,0.0002521538716720279,0.0001334953430653196,6.0996483703729675e-05,0.00017950416431888408,0.0005442115298820049,0.04643391510471702,0.10542648974806071,0.010767657682299614,0.001357271808956284,0.04320380436256528,0.10264689642935991,0.011144593521021307,0.0013829075312969507,0.032322972733527425,0.10390040185302496,0.010876022023148834,0.0002630432463774923,FB_FB,2.790055110708856,1.540055110708856,3,un_FB,2.8506693945705877,0.06061428386173162,-0.05899257464334369,-0.05944309206679463,-0.07157742911949753,0.0,0.0,0.0,-0.0004505174234509385,-0.012134337052702907,0.0,0.0,-0.003230110742151737,-0.0027795933187007987,0.0003769358387216929,2.5635722340666646e-05,-0.010880831629037857,0.0012535054236650495,-0.00026857149787247285,-0.0011198642849194584,FB -> FB,unresponsive -> unresponsive,FB,FB,FB,unresponsive,unresponsive,unresponsive,4.783699776367865,2.283699776367864,3.182596791385859,1.9325967913858588,4.658698507512028,2.1586985075120286,2.8506693945705877,1.6006693945705877,2.790055110708856,1.540055110708856,,,-0.6384189266363931,0.0528398200495141,-1.5459141110217656,-10.162746,-11.070813
53,standard::53,standard,1.3328563694118265,0.0010535526615658571,0.0025297533780033474,0.21662212593658625,0.0005595799135423285,0.0009685699052819494,0.00012467843399672292,0.6834078454515855,0.010381400633649073,0.006940831348366018,0.007544560984167618,0.0025388630686864508,0.2832689628005028,0.0,0.05172544978559017,0.04229205260053277,0.24106548950076104,0.0,0.04608089653775096,0.04734625983983278,0.298675375431776,0.02886432674713433,0.07306060399860144,0.07145747635513544,FF_FB_broad,4.054374234793368,3.504374234793368,1,FF_FB_narrow_familiar,5.015278555242523,0.9609043204491554,0.2832689628005028,0.24106548950076104,0.2698110486846417,0.009433397185057396,-0.0012653633020818233,0.0016031276434659986,-0.04220347329974175,0.028745559183880637,-0.01069876048713922,0.002868490945547822,-0.04220347329974175,0.0,-0.005644553247839211,0.005054207239300008,0.05760988593101499,0.02886432674713433,0.02697970746085048,0.02411121651530266,FF -> FF,FF -> FB,FF,FF,FF,FF,FB,FF,4.054374234793368,3.504374234793368,5.015278555242523,3.765278555242523,6.342815701427535,4.542815701427534,7.192830138410511,4.692830138410511,7.032217195241101,4.8822171952411,,,-1.0336880104222668,-0.6096161285545949,0.591867241174879,16.661697,3.916938
54,standard::54,standard,1.5366897006770568,0.7650238507780086,0.06599452772081892,0.0003024658905732859,0.029206157188820674,0.046954076010515114,0.005454350115700538,0.0002646256457453979,0.0035548081951831015,9.651677063637753e-05,0.006621415639411183,0.011680576088108463,0.3332768380641937,4.130871529923752e-05,0.1573481172323227,0.0,0.28501231521368026,0.0,0.15007767155766488,0.0,0.3110612228512764,0.0004717596777481958,0.1553449809551239,0.0,FF_FB_broad,4.006266889110465,4.006266889110465,0,FF_FB_narrow_familiar,5.301844895297567,1.2955780061871014,0.3332768380641937,0.28501231521368026,0.3110612228512764,0.1573481172323227,0.15007767155766488,0.1553449809551239,-0.04826452285051347,0.026048907637596153,-0.007270445674657816,0.005267309397459008,-0.04826452285051347,-4.130871529923752e-05,-0.007270445674657816,0.0,0.026048907637596153,0.0004717596777481958,0.005267309397459008,0.0,FF -> FF,FF -> FF,FF,FF,FF,FF,FF,FF,4.006266889110465,4.006266889110465,5.301844895297567,4.051844895297567,6.209059025315265,4.959059025315265,7.44285239256988,4.94285239256988,7.8879483656995175,5.3879483656995175,,,-1.8100303607357062,-0.8354998918463654,1.53764298447034,16.680048,-0.10359851
55,standard::55,standard,0.0073372024401109895,0.0007172319630420395,0.0005087617182951913,0.07223443638768495,0.006574242956553842,0.0018074377099939903,0.07564428273835999,0.8856530390704869,0.0003700902399178348,0.005223885751316947,0.00013081751624267258,0.00024662181008287105,0.004856125963851809,0.0025804764474742113,0.016231361124664546,0.015643203537911175,0.009185874089598655,0.00955746357794851,0.020802719844505192,0.020909287640824913,0.035351378377527,0.0348624867387116,0.03904530089348555,0.03818199262022972,un_FB,2.876497963886364,2.1764979638863644,2,FF_FB_narrow_novel,3.196550841266219,0.320052877379855,0.0,0.0,0.0004888916388154016,0.0,0.0,0.0008633082732558278,0.0,0.0004888916388154016,0.0,0.0008633082732558278,0.004329748125746846,0.006976987130474299,0.0045713587198406465,0.005266084102913737,0.026165504287928344,0.025305023160763086,0.018242581048980355,0.017272704979404807,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive,unresponsive,FF,unresponsive,unresponsive,FF,4.027486266096036,2.227486266096036,3.554947051103495,2.304947051103495,3.196550841266219,1.9465508412662191,2.876497963886364,2.1764979638863644,4.923037005099216,2.4230370050992156,,,-0.9485785227351263,0.11246794041731985,-0.5216799093135609,-4.743286,17.883945
56,standard::56,standard,0.0003226206193541472,0.05495940910340202,1.4700961741195038,0.002317573503636802,0.00016691755754432306,0.0007110737466946135,0.0002464660187325405,0.020881598714930075,0.0005885415046607331,0.00417105195032432,0.0010460847672768623,0.0004229472085642697,0.320989029109478,0.2961272090673447,6.81774428812787e-05,0.007466887903865427,0.2987718045711517,0.29631988480687144,0.0011557278223335743,0.008087322337087244,0.3012750618159771,0.30676415711641314,0.0022134412778541447,0.01222626194357872,FF_FB_narrow_familiar,5.065497636591883,4.715497636591883,1,un_FB,6.409076843188407,1.343579206596524,0.02486182004213333,0.002451919764280275,-0.005489095300436064,0.0,0.0,0.0,-0.022409900277853056,-0.007941015064716339,0.0,0.0,-0.022217224538326308,0.00019267573952674866,0.0010875503794522956,0.0006204344332218174,0.002503257244825363,0.010444272309541702,0.0010577134555205703,0.004138939606491476,FF -> FF,unresponsive -> unresponsive,FF,FF,FB,unresponsive,unresponsive,unresponsive,6.428961197842281,4.828961197842281,5.065497636591883,4.715497636591883,7.713401916967473,5.213401916967473,6.409076843188407,5.159076843188407,6.85694026572163,4.70694026572163,,,-1.360480671817879,1.840272160736999,-2.28503099939864,4.302891,28.932335
57,standard::57,standard,0.019644413204929143,0.009917154616259513,0.009547295408298443,0.7756776276772118,1.2425651292615205,0.7719074968538598,0.48427560338874664,0.011112643979242436,0.06705308067476412,0.000566713017083162,0.02480918034040211,0.0016757803530071636,0.00032122021148097704,0.0024393187602981927,0.018105564150027932,0.14368176870048047,0.0,0.002993468748172745,0.016591938165947794,0.15212018750607967,0.0008793914195848629,0.0032425289857201276,0.019546307530254124,0.14703575819730758,FB_FB,2.949783882226683,1.699783882226683,3,un_FB,3.4510996422726934,0.5013157600460105,0.0,0.0,0.0,-0.14368176870048047,-0.15212018750607967,-0.14703575819730758,0.0,0.0,-0.008438418805599202,0.005084429308772093,-0.00032122021148097704,0.0005541499878745524,-0.001513625984080138,0.008438418805599202,0.0008793914195848629,0.00024906023754738254,0.00295436936430633,-0.005084429308772093,unresponsive -> unresponsive,FB -> FB,unresponsive,unresponsive,unresponsive,FB,FB,FB,5.058528344863555,2.5585283448635554,4.936959346266837,2.4369593462668373,3.817645424986185,2.567645424986185,3.4510996422726934,2.2010996422726934,2.949783882226683,1.699783882226683,,,1.8528891521376707,-0.16840201505620908,0.27797496323131754,1.2645695,-4.8946414
58,standard::58,standard,0.10666892038479696,0.023383733845982274,0.00010545564275048993,0.5373072516619746,0.1987009602787073,0.11889814082413733,0.0011291290668708509,0.05256023401043029,0.0019048961994694688,0.011672136469866902,0.00032901072170141523,0.004867163846575247,0.004852755181491375,0.005380605696700513,0.09909843783825636,0.11054145954549313,0.006324683013372123,0.019153918884694577,0.1091436941176653,0.1231973122805357,0.0633639495819807,0.07582615949213505,0.14834648035466672,0.161087441816926,FB_FB,5.938698947349133,5.038698947349133,2,FF_FB_narrow_novel,6.307784128768918,0.3690851814197851,0.0,0.0,-0.012462209910154343,-0.011443021707236767,-0.014053618162870402,-0.012740961462259282,0.0,-0.012462209910154343,-0.0026105964556336347,0.00131265670061112,0.001471927831880748,0.013773313187994064,0.010045256279408929,0.012655852735042564,0.05703926656860858,0.05667224060744047,0.03920278623700142,0.0378901295363903,unresponsive -> unresponsive,FB -> FB,unresponsive,unresponsive,FB,FB,FB,FB,7.5351684197796125,5.0351684197796125,7.786206768334855,5.286206768334855,6.307784128768918,4.7077841287689175,6.904251160222963,5.304251160222963,5.938698947349133,5.038698947349133,,,-1.3729032643126016,1.368580774091347,0.41516078220123687,-9.9286785,24.85934
