candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB
313,standard,True,True,0.00902426615357399,0.03181719779968262,0.0017551074270159006,0.03443099930882454,0.00012850671191699803,0.044922031462192535,0.1930326223373413,0.15779905021190643,0.002763953903922811,0.0036876546742860227,0.005876619013724849,0.006557355914264917,0.012335982488002628,0.015859659792234502,0.014538913561652104,0.01656839013642942,un_FB,0.2776835028741819,0.3923373818397522,0,2.2930775793114058,FF_FB_narrow_familiar,1.2097811336124626,0.9320976307382807,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.4992342617944816,0.9211417436599731,3,3.0518996146158317,1.4738070964813232,3,1.2097811336124626,0.739185631275177,1,3.3555185652221553,2.362675428390503,2,0.2776835028741819,0.3923373818397522,0,3.059879654207422,0.9452257752418518,4
905,standard,True,True,0.004339388571679592,0.1387517899274826,0.000967400788795203,0.006898772437125444,0.032683707773685455,0.10420756787061691,0.22829601168632507,0.00012885611795354635,0.0014974417911920075,0.0029284766176715495,0.009896000352455303,0.002807962205649043,0.0074417444198237115,0.015465970372315497,0.019306798450027904,0.011824564651275675,un_FB,0.2784212736684519,0.38322678208351135,0,2.09611016830119,FF_FB_narrow_familiar,1.2511598591964381,0.9727385855279862,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.4335513564952027,0.8668819665908813,3,2.9762614223368775,1.4095920324325562,3,1.2511598591964381,0.7676792740821838,1,3.2648801740452957,2.286496877670288,2,0.2784212736684519,0.38322678208351135,0,3.133199370718406,1.0248157978057861,4
944,standard,True,True,0.035787586122751236,0.0002146842743968591,0.0574827715754509,0.00013540106010623276,0.05742350593209267,0.020105501636862755,1.4013445377349854,0.7863835096359253,0.007406530269266417,0.009357281553093344,0.0015656816113429764,0.0029335752944462,0.010379100911086426,0.024204165294455984,0.006431989633711055,0.010923578706569969,un_FB,0.2787272046630581,0.3838900029659271,0,2.10325596605738,FF_FB_narrow_familiar,1.1367507030100872,0.8580234983470291,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.593198384003093,0.9912189245223999,3,3.144789065079143,1.5428096055984497,3,1.1367507030100872,0.6793426275253296,1,3.5438410254971435,2.504432439804077,2,0.2787272046630581,0.3838900029659271,0,3.016429602044324,0.9112668037414551,4
1294,standard,True,True,0.0001605360594112426,0.005163367837667465,0.026413263753056526,0.006819374393671751,0.0006565832882188261,0.00012225810496602207,0.0017676061252132058,0.3570210635662079,0.0051885178273854155,0.0062111379889150465,0.0037434300407767295,0.0038770166303341586,0.015356508320352683,0.019983097604320696,0.011602494008063029,0.012308328994549811,un_FB,0.27948579646181315,0.39472663402557373,0,2.3048167512752116,FF_FB_narrow_familiar,1.1586961604111516,0.8792103639493385,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.5409200670275216,0.9457468390464783,3,3.089620697692347,1.4944474697113037,3,1.1586961604111516,0.6987815499305725,1,3.4470738540791594,2.427056074142456,2,0.27948579646181315,0.39472663402557373,0,3.0703603281872347,0.9551194906234741,4
1334,standard,True,True,0.0004216462839394808,0.00018471742805559188,0.050244130194187164,0.0007804017513990402,0.05059307441115379,0.0022613373585045338,0.009628637693822384,0.0025297680404037237,0.002913187869125977,0.008737249691815425,0.002026090710811938,0.0031633451115339996,0.011803945782594383,0.02379690983798355,0.009201622247928753,0.011318604888704916,un_FB,0.28081111014665416,0.38677889108657837,0,2.1193556187984846,FF_FB_narrow_familiar,1.1977319925324992,0.916920882385845,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.5986527404670294,0.9974973201751709,3,3.154654165256458,1.5534987449645996,3,1.1977319925324992,0.7386487722396851,1,3.5074744008248673,2.471369981765747,2,0.28081111014665416,0.38677889108657837,0,3.02156796156584,0.9156001806259155,4
832,standard,True,True,0.025232283398509026,0.0009885762119665742,0.03783470764756203,0.045791007578372955,0.0027167496737092733,0.27951765060424805,0.025711188092827797,0.0005171716911718249,0.006066482706228271,0.005210267259584119,0.0007613272086018696,0.007281868188874796,0.011911747802514583,0.020379317365586756,0.000844021779873098,0.017596050491556527,un_FB,0.2814253885066137,0.37877795100212097,0,1.947051249910146,FF_FB_narrow_familiar,1.1670560162048786,0.885630627698265,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.6484849270937656,1.0509189367294312,3,3.2001573857424472,1.6025913953781128,3,1.1670560162048786,0.6886745095252991,1,3.57141297206205,2.5495810508728027,2,0.2814253885066137,0.37877795100212097,0,2.9680240135872737,0.8706714510917664,4
252,standard,True,True,0.23181428015232086,0.00010740711149992421,0.0025050565600395203,0.0029889356810599566,0.0029375492595136166,0.8520755171775818,0.0017211430240422487,0.04373300448060036,0.02489041631342843,0.0011099390302357884,0.0005914897117084668,0.000907478597946465,0.009459118374312918,0.011025266803335399,0.0002797044548060512,0.007897864421829581,un_FB,0.2830679077189416,0.3936258554458618,0,2.211158954538405,FF_FB_narrow_familiar,0.7560206632129848,0.4729527554940432,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.528031772375107,0.973372757434845,3,3.0024093449115754,1.4477503299713135,3,0.7560206632129848,0.3661402761936188,1,3.647516015963629,2.5932953357696533,2,0.2830679077189416,0.3936258554458618,0,3.276469109004635,1.1185693740844727,4
160,standard,True,True,0.014947683550417423,0.00018635658489074558,0.006149341352283955,0.02765624411404133,0.0003241692029405385,0.0013636410003528,0.00031281146220862865,0.0002504508011043072,0.00450480254755045,0.004288010586363574,0.005564310795549924,0.006001049497475226,0.013343431424194327,0.016784086423770835,0.014264665772983184,0.01564416370432203,un_FB,0.2835160620122527,0.3976478576660156,0,2.2826359130752585,FF_FB_narrow_familiar,1.183034338375243,0.8995182763629903,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.4926171398954464,0.9113489985466003,3,3.044891784270294,1.4636236429214478,3,1.183034338375243,0.7151853442192078,1,3.3706316794656836,2.3713443279266357,2,0.2835160620122527,0.3976478576660156,0,3.0625144713014985,0.9483826756477356,4
34,standard,True,True,0.0056588537991046906,0.004308399278670549,0.034096669405698776,0.00012068362411810085,0.005587114952504635,0.00026953915948979557,0.06672335416078568,0.00010145634587388486,0.006446746049914509,0.007094574405346066,0.0028147631247217456,0.003475548951731374,0.015470373133818308,0.021194252212687083,0.010405699850525706,0.011298560129944235,un_FB,0.2843708185944706,0.3982449471950531,0,2.27748257201165,FF_FB_narrow_familiar,1.140721733495593,0.8563509149011224,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.5540929103891057,0.9554417729377747,3,3.1015742684404057,1.5029231309890747,3,1.140721733495593,0.6829741597175598,1,3.4785331887348243,2.4515037536621094,2,0.2843708185944706,0.3982449471950531,0,3.066312840720639,0.9524387121200562,4
706,standard,True,True,0.005228746682405472,0.000664279330521822,0.045988768339157104,0.0012450511567294598,0.019080733880400658,0.02218749187886715,0.0020551534835249186,0.00401059677824378,0.006127553002443165,0.008286697584359596,0.001780769679074486,0.003301848106396695,0.014737512085897226,0.022973439384562273,0.007039244030602276,0.011327827031103273,un_FB,0.28732212661610296,0.3955425024032593,0,2.1644075157431266,FF_FB_narrow_familiar,1.1474692296159144,0.8601471029998113,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.595047798124142,0.9949336647987366,3,3.14394142862875,1.5438272953033447,3,1.1474692296159144,0.688836395740509,1,3.5294502795130636,2.4961893558502197,2,0.28732212661610296,0.3955425024032593,0,3.036483384381669,0.9282630085945129,4
1104,standard,True,True,0.04459469020366669,0.0010741394944489002,0.05634640157222748,0.11153427511453629,0.2519666850566864,1.4874403476715088,0.03875245898962021,0.00437016598880291,1.074191381652175e-06,0.002437759235423679,2.7743662546223883e-05,0.013600705470889807,1.6481970828863268e-05,0.016178567133223017,4.075375318279839e-05,0.02268371796235442,un_FB,0.2876059279427864,0.3778044283390045,0,1.803970007924363,FF_FB_narrow_familiar,1.3071959986079795,1.0195900706651932,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.7230329412879657,1.1231194734573364,3,3.2769182819785785,1.6770048141479492,3,1.3071959986079795,0.8071455359458923,1,3.5614492585717623,2.5517847537994385,2,0.2876059279427864,0.3778044283390045,0,2.9093266561045312,0.819128155708313,4
760,standard,True,True,0.11466316133737564,0.0004349887603893876,0.00013176565698813647,0.0016135884216055274,0.0020917218644171953,0.00015614615404047072,1.7570239305496216,0.0299286637455225,0.018579625241303195,0.003918718098429963,0.002955691316553081,0.003461114860450228,0.01085501570487395,0.015406842397836348,0.009424741267381857,0.011029771653314431,un_FB,0.28772880932471406,0.39077410101890564,0,2.0609058338838318,FF_FB_narrow_familiar,0.9168164992316936,0.6290876899069795,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.444734764557021,0.8800621032714844,3,2.966166925888198,1.4014942646026611,3,0.9168164992316936,0.494180291891098,1,3.5006696671945976,2.4616785049438477,2,0.28772880932471406,0.39077410101890564,0,3.140369147066182,1.0208427906036377,4
1171,standard,True,True,0.11279137432575226,0.027980290353298187,0.00016304480959661305,0.011347082443535328,0.043440815061330795,0.00021518846915569156,0.00017812477017287165,0.381725013256073,0.012717464748614777,0.0035794631927274167,0.006865076765340442,0.003734810623185088,0.00917107031176177,0.015589418580445151,0.015128803008701652,0.012655287911184133,un_FB,0.2897210618907896,0.38911953568458557,0,1.9879694758759192,FF_FB_narrow_familiar,1.0527234865934587,0.7630024247026691,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.3910180471100224,0.8292618989944458,3,2.931124582067908,1.3693684339523315,3,1.0527234865934587,0.6029918193817139,1,3.37028296282903,2.357656955718994,2,0.2897210618907896,0.38911953568458557,0,3.1048626699989352,1.0054641962051392,4
1225,standard,True,True,0.005161933600902557,0.018770501017570496,0.033083945512771606,0.012355017475783825,0.0025922521017491817,0.030582813546061516,0.14649803936481476,0.00026545606669969857,0.006136355898343026,0.006707685813307762,0.0030361485221267986,0.004138060523352275,0.015271408227272331,0.02086953216154749,0.010502576696065564,0.013069088198244571,un_FB,0.2918781213151912,0.402309387922287,0,2.208625332141916,FF_FB_narrow_familiar,1.1523542530524233,0.8604761317372321,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.546797824418172,0.9528884291648865,3,3.098277342831716,1.5043679475784302,3,1.1523542530524233,0.6896162629127502,1,3.4646600355859847,2.4439198970794678,2,0.2918781213151912,0.402309387922287,0,3.0479838975084323,0.9375526309013367,4
1027,standard,True,True,0.06383014470338821,0.03546992316842079,0.0008206493221223354,0.002336042234674096,0.00010873738210648298,0.00044707523193210363,0.000290509284241125,0.04678564518690109,0.010867052189617728,0.003972529678139836,0.007255688053555786,0.003508092757935325,0.011539658597515275,0.015843983603796612,0.015763899660669267,0.011456762106778722,un_FB,0.2923237755778246,0.3928625285625458,0,2.0107750596944243,FF_FB_narrow_familiar,1.082122963507815,0.7897991879299904,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.4003420779753166,0.8364273905754089,3,2.938755066161199,1.3748403787612915,3,1.082122963507815,0.6261299252510071,1,3.3575790192815473,2.350196123123169,2,0.2923237755778246,0.3928625285625458,0,3.1151114925858563,1.0145727396011353,4
413,standard,True,True,0.00011738284956663847,0.6413080096244812,0.00024026358732953668,0.18711847066879272,1.9817116260528564,0.9801794290542603,0.026802612468600273,1.042281150817871,0.0008304409558983632,8.878889675637917e-07,0.0069878276131930765,0.015582910653514167,2.9780238378407375e-05,0.005733242354472168,0.006067859752026076,0.02438114503941809,un_FB,0.29249335256219333,0.39943787455558777,0,2.1388904398678887,FF_FB_narrow_familiar,1.2951109591323529,1.0026176065701595,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.6023567727878647,1.0370904207229614,3,3.130183678038414,1.5649173259735107,3,1.2951109591323529,0.8053772449493408,1,3.391532184797188,2.4229440689086914,2,0.29249335256219333,0.39943787455558777,0,3.0155656543672045,0.9086211323738098,4
1430,standard,True,True,0.0005464176647365093,0.00031208316795527935,0.00013661669800058007,0.03357110917568207,0.0001802758633857593,0.00010628327436279505,0.004320014268159866,0.25034672021865845,0.002528353991995876,0.004020255361683667,0.006571304429477702,0.006748799587755153,0.01301700307133918,0.015970502219473322,0.01548010455444455,0.016618707465628782,un_FB,0.2944617713879173,0.40774524211883545,0,2.265669414618363,FF_FB_narrow_familiar,1.218530092954946,0.9240683215670288,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,2.4882299851858987,0.9110645055770874,3,3.0416820001089944,1.464516520500183,3,1.218530092954946,0.7478945851325989,1,3.3400473051937296,2.3468008041381836,2,0.2944617713879173,0.40774524211883545,0,3.059392169575828,0.9461086988449097,4
