ablation,ablation_label,transition,transition_label,phase,phase_label,value,n_familiar_conditions
use_pv_lat_connection,No PY->PV conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,30.05074058565254,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-16.294995063595337,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,28.290012986062795,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.752896429198692,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,25.64909351843915,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.1545461059279,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,29.663434769131555,2
use_pv_lat_connection,No PY->PV conn.,FB_FB,FB -> FB,naive,Naive,41.63372601930006,2
use_pv_lat_connection,No PY->PV conn.,FB_FB,FB -> FB,expert,Expert,61.671850099826656,2
pv_lat_plasticity,No PY->PV plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
pv_lat_plasticity,No PY->PV plast.,un_un,un -> un,expert,Expert,3.8309482366267016,2
pv_lat_plasticity,No PY->PV plast.,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
pv_lat_plasticity,No PY->PV plast.,un_FF,un -> FF,expert,Expert,-21.735718758046456,2
pv_lat_plasticity,No PY->PV plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
pv_lat_plasticity,No PY->PV plast.,un_FB,un -> FB,expert,Expert,24.423989110609636,2
pv_lat_plasticity,No PY->PV plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
pv_lat_plasticity,No PY->PV plast.,FF_un,FF -> un,expert,Expert,3.0373970012831686,2
pv_lat_plasticity,No PY->PV plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
pv_lat_plasticity,No PY->PV plast.,FF_FF,FF -> FF,expert,Expert,-34.25335004679144,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,30.540727766382567,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,29.455973901746766,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,28.15000547894148,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,25.559579046351477,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
pv_lat_plasticity,No PY->PV plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,29.144818756086075,2
pv_lat_plasticity,No PY->PV plast.,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
pv_lat_plasticity,No PY->PV plast.,FB_FB,FB -> FB,expert,Expert,32.96984845393832,2
use_pv_connection,No FF->PV conn.,un_un,un -> un,naive,Naive,-0.3147101737127032,2
use_pv_connection,No FF->PV conn.,un_un,un -> un,expert,Expert,0.1317672433697186,2
use_pv_connection,No FF->PV conn.,un_FF,un -> FF,naive,Naive,-0.3590038127535564,2
use_pv_connection,No FF->PV conn.,un_FF,un -> FF,expert,Expert,-23.53877075825566,2
use_pv_connection,No FF->PV conn.,un_FB,un -> FB,naive,Naive,-0.3321861658825463,2
use_pv_connection,No FF->PV conn.,un_FB,un -> FB,expert,Expert,0.2212805639620292,2
use_pv_connection,No FF->PV conn.,FF_un,FF -> un,naive,Naive,-30.56364512328698,2
use_pv_connection,No FF->PV conn.,FF_un,FF -> un,expert,Expert,-12.633026460420265,2
use_pv_connection,No FF->PV conn.,FF_FF,FF -> FF,naive,Naive,-30.521114581347575,2
use_pv_connection,No FF->PV conn.,FF_FF,FF -> FF,expert,Expert,-35.07151823206554,2
use_pv_connection,No FF->PV conn.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-30.570665231423693,2
