method,sample_idx,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,W_pv_00,W_pv_01,W_pv_10,W_pv_11,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,familiar_transition_label,novel_transition_label,familiar_transition_point_x,familiar_transition_point_y,novel_transition_point_x,novel_transition_point_y,receives_context_familiar,receives_context_novel,context_mode,context_marker,context_label,log10_w_ff_0,log10_w_ff_1,log10_w_fb_0,log10_w_fb_1,log10_w_lat_0,log10_w_lat_1,log10_w_pv_lat_0,log10_w_pv_lat_1,log10_W_pv_00,log10_W_pv_01,log10_W_pv_10,log10_W_pv_11,weight_point_idx,posterior_context_label
sbi_posterior,10,0.2026241330759891,0.24419900512692366,0.0315429942590289,0.3648497558141171,0.009312476490229791,0.0007475853855810849,0.004374692991062112,0.003524456861894498,0.012637032780055615,0.0014602149482486964,0.004276758441800066,0.08973801634147596,0.04869068625072638,0.005546435570189108,0.12260891670982042,0.06792008678118387,0.038831520235786836,0.009286418293292324,0.1260652335981528,0.07049066188434759,0.04869068625072638,0.038831520235786836,0.05468882992863655,0.05557457171380521,True,True,True,True,0.04869068625072638,0.0,0.038831520235786836,0.0,0.05468882992863655,0.0,0.05557457171380521,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.04869068625072638,0.038831520235786836,0.05468882992863655,0.05557457171380521,True,True,11,o,"ctx=(T,T)",-0.6933088302612305,-0.6122561097145081,-1.5010970830917358,-0.43788594007492065,-2.0309348106384277,-3.1263391971588135,-2.3590524196624756,-2.4529078006744385,-1.8983548879623413,-2.835583209991455,-2.3688852787017822,-1.0470235347747803,10,"ctx=(T,T)"
sbi_posterior,11,0.04733102007848938,0.32241812949672055,0.0054886974206601056,0.00883234764438625,0.009058017540634388,0.0002567519270814668,0.0030874331221043775,0.0022238024520140572,0.0038471978362234808,0.03337042078172811,0.006359995132867119,0.009913418709534489,0.0144694647906969,0.0023502432508394123,0.06617488426466783,0.00020322311320342124,0.017261426243931056,0.0072937452777599296,0.06957342270761728,0.0020863521718032037,0.0,0.0,0.06617488426466783,0.06957342270761728,False,False,True,True,0.0,-0.0,0.0,-0.0,0.06617488426466783,0.0,0.06957342270761728,0.0,unresponsive -> unresponsive,FF -> FF,unresponsive -> unresponsive,FF -> FF,0.0,0.0,0.06617488426466783,0.06957342270761728,True,True,11,o,"ctx=(T,T)",-1.3248541355133057,-0.4915805459022522,-2.260530710220337,-2.0539238452911377,-2.042966842651367,-3.5904862880706787,-2.5104024410247803,-2.6529037952423096,-2.414855480194092,-1.4766383171081543,-2.1965432167053223,-2.0037765502929688,11,"ctx=(T,T)"
sbi_posterior,12,0.24096734169308132,0.47578761810113396,0.0021156612361706785,0.006810915018298637,0.00456189824195359,0.0077814040762431355,0.036871489600306076,0.5278154337943665,0.015192802183570274,0.10592129622423715,0.18251827075827726,0.00429454743612907,0.05165854077786207,0.00021368373612252374,0.09319780115038157,6.199461834815641e-05,0.03909652338673671,0.0027022523145812253,0.09741526960084836,0.0009184834842320319,0.05165854077786207,0.03909652338673671,0.09319780115038157,0.09741526960084836,True,True,True,True,0.05165854077786207,0.0,0.03909652338673671,0.0,0.09319780115038157,0.0,0.09741526960084836,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.05165854077786207,0.03909652338673671,0.09319780115038157,0.09741526960084836,True,True,11,o,"ctx=(T,T)",-0.6180418133735657,-0.32258686423301697,-2.674553871154785,-2.166794538497925,-2.3408544063568115,-2.1089420318603516,-1.4333093166351318,-0.2775179147720337,-1.8183621168136597,-0.975016713142395,-0.7386936545372009,-2.3670825958251953,12,"ctx=(T,T)"
sbi_posterior,13,0.2369401270744523,0.2599921678035923,0.0020869515524406463,0.043788413447599775,0.00317867336617496,0.0014531672682547773,0.00020146625716183856,0.08375439531084418,0.04696645042204914,0.0013323572087860032,0.00803806669912789,0.024082269728182733,0.04853103837619225,0.0007682487722680283,0.06146182275066773,0.005232045056375986,0.037781952787190674,0.0037493354563290873,0.06499483187993367,0.00789828294267257,0.04853103837619225,0.037781952787190674,0.06146182275066773,0.06499483187993367,True,True,True,True,0.04853103837619225,0.0,0.037781952787190674,0.0,0.06146182275066773,0.0,0.06499483187993367,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.04853103837619225,0.037781952787190674,0.06146182275066773,0.06499483187993367,True,True,11,o,"ctx=(T,T)",-0.6253613829612732,-0.5850397348403931,-2.680487632751465,-1.3586407899856567,-2.4977540969848633,-2.837684392929077,-3.6957976818084717,-1.076992392539978,-1.3282122611999512,-2.8753793239593506,-2.094848394393921,-1.618302583694458,13,"ctx=(T,T)"
sbi_posterior,14,0.37701604934047683,0.21228136261564495,0.005120722885102919,0.0006190512276683459,0.004856478796806553,0.12776949923935765,0.2120316811768524,0.005223450658415935,0.014091013537306057,0.0022798916571798843,0.02478014736182782,0.023853953983329432,0.07567174912740787,7.694590215881666e-05,0.04016623394563794,7.568311581659751e-05,0.05687695257365703,0.002626706217415631,0.04398962805668513,0.0009527150434829915,0.07567174912740787,0.05687695257365703,0.04016623394563794,0.04398962805668513,True,True,True,True,0.07567174912740787,0.0,0.05687695257365703,0.0,0.04016623394563794,0.0,0.04398962805668513,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.07567174912740787,0.05687695257365703,0.04016623394563794,0.04398962805668513,True,True,11,o,"ctx=(T,T)",-0.4236401617527008,-0.6730881333351135,-2.2906687259674072,-3.208273410797119,-2.313678503036499,-0.8935728073120117,-0.6735992431640625,-2.2820425033569336,-1.851057767868042,-2.6420857906341553,-1.6058961153030396,-1.6224396228790283,14,"ctx=(T,T)"
sbi_posterior,15,0.1613461716382727,0.42523452920301974,0.8750061075410017,0.014020482740154857,0.006787854297234439,0.02802560172748611,0.010233322942150081,0.20699438248154292,0.004158733548036962,0.09328376690932286,1.7957819254365452,0.003151411500130557,0.19947377406060696,0.16692467965185642,0.08152793981134891,0.004633183614350856,0.10624079996099074,0.1702918831259012,0.0810433816164732,0.0064356136523808045,0.032549094408750534,-0.06405108316491047,0.08152793981134891,0.0810433816164732,True,True,True,True,0.032549094408750534,0.0,0.0,0.06405108316491047,0.08152793981134891,0.0,0.0810433816164732,0.0,FF -> FB,FF -> FF,FF -> FB,FF -> FF,0.032549094408750534,-0.06405108316491047,0.08152793981134891,0.0810433816164732,True,True,11,o,"ctx=(T,T)",-0.7922413349151611,-0.37137147784233093,-0.05798891559243201,-1.8532370328903198,-2.1682674884796143,-1.5524450540542603,-1.989983320236206,-0.684041440486908,-2.3810389041900635,-1.0301939249038696,0.2542535960674286,-2.501494884490967,15,"ctx=(T,T)"
sbi_posterior,16,0.5112760821096229,0.20370183856783053,0.0028040983723115693,0.44612855089519615,0.01534254304140011,0.0012503232153258628,0.004295740555856149,0.001215047611511939,0.016759186704832858,0.0038092346538361192,0.44457729757591335,0.02094051430104975,0.10114362432310979,0.001156116253696382,0.13097438911596934,0.08258625281353792,0.07344754878431559,0.0018547290431646009,0.13345504254102708,0.08591200113296509,0.10114362432310979,0.07344754878431559,0.048388136302431425,0.047543041408061995,True,True,True,True,0.10114362432310979,0.0,0.07344754878431559,0.0,0.048388136302431425,0.0,0.047543041408061995,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.10114362432310979,0.07344754878431559,0.048388136302431425,0.047543041408061995,True,True,11,o,"ctx=(T,T)",-0.29134452342987066,-0.6910050511360168,-2.5522067546844482,-0.3505399823188782,-1.8141026496887207,-2.902977705001831,-2.36696195602417,-2.9154067039489746,-1.7757470607757568,-2.4191622734069824,-0.3520527184009552,-1.679012656211853,16,"ctx=(T,T)"
sbi_posterior,17,0.2857180540397577,0.2625557418985851,0.2094181337849357,0.035995913110072025,0.15327010962703588,0.011999675774999314,0.01151600137926984,0.12072043488603562,0.0010414128873063866,0.00901931370172132,0.3190047674258741,0.0034584047439321602,0.10084026784946522,0.03666429069514076,0.05748699068402251,0.0021506953586746627,0.07290743601818879,0.04166173857326309,0.058644281576077144,0.005629865848459303,0.06417597715432447,0.031245697444925703,0.05748699068402251,0.058644281576077144,True,True,True,True,0.06417597715432447,0.0,0.031245697444925703,0.0,0.05748699068402251,0.0,0.058644281576077144,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.06417597715432447,0.031245697444925703,0.05748699068402251,0.058644281576077144,True,True,11,o,"ctx=(T,T)",-0.5440623164176941,-0.5807784795761108,-0.6789857149124146,-1.44374680519104,-0.8145425319671631,-1.920830488204956,-1.9386982917785645,-0.9182192087173462,-2.982377052307129,-2.0448265075683594,-0.49620282649993896,-2.4611241817474365,17,"ctx=(T,T)"
sbi_posterior,18,0.5113548188741894,0.2959313999378802,0.010517813104231806,0.016178339674742245,0.03620656680327079,0.013086738423200477,0.010676453301643542,0.022833255370427092,0.036207898563127276,0.009171714011932165,0.03815734383611133,0.06245843757312473,0.1044080950319767,0.0,0.05792244703819354,0.0011978542684422185,0.07632550410926342,0.003411735142678178,0.06270813674976429,0.003170801389690799,0.1044080950319767,0.07632550410926342,0.05792244703819354,0.06270813674976429,True,True,True,True,0.1044080950319767,0.0,0.07632550410926342,0.0,0.05792244703819354,0.0,0.06270813674976429,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.1044080950319767,0.07632550410926342,0.05792244703819354,0.06270813674976429,True,True,11,o,"ctx=(T,T)",-0.2912776470184326,-0.5288089513778687,-1.978074550628662,-1.79106605052948,-1.4412126541137695,-1.8831685781478882,-1.971572995185852,-1.6414321660995483,-1.4411966800689697,-2.0375494956970215,-1.4184218645095825,-1.204408884048462,18,"ctx=(T,T)"
sbi_posterior,19,0.08799816666164527,0.3680908677544144,0.5157134088024196,0.37462568528795287,0.004916085146025728,0.0017375976733189605,0.0002419010016692805,0.005117064049965914,0.004044887191708979,0.018281116089177263,0.01047444143169161,0.003641377522056961,0.12189845455189546,0.09559524537374577,0.14563409015536308,0.07066596715400617,0.10091868204375108,0.09941826891154051,0.14819789777199427,0.07362834910551706,0.026303209178149697,0.001500413132210568,0.07496812300135691,0.0745695486664772,True,True,True,True,0.026303209178149697,0.0,0.001500413132210568,0.0,0.07496812300135691,0.0,0.0745695486664772,0.0,FF -> FF,FF -> FF,FF -> FF,FF -> FF,0.026303209178149697,0.001500413132210568,0.07496812300135691,0.0745695486664772,True,True,11,o,"ctx=(T,T)",-1.0555263757705688,-0.4340449571609497,-0.28759157657623285,-0.42640244960784907,-2.308380603790283,-2.7600507736206055,-3.6163623332977295,-2.2909791469573975,-2.3930935859680176,-1.73799729347229,-1.9798691272735596,-2.438734292984009,19,"ctx=(T,T)"
