class_a,class_b,candidate_idx_a,candidate_idx_b,alpha,assigned_target,assigned_objective,objective_margin,familiar_primary_transition,novel_primary_transition,familiar_expert2_state,novel_expert2_state,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,lr_ff,lr_fb,lr_lat,lr_pv
FF_FB_broad,FF_FB_narrow_familiar,2,76,0.8333333333333333,FF_FB_narrow_familiar,1.048020561504849,0.6212418536549145,FF -> FF,unresponsive -> unresponsive,0.08205666020512581,0.028260294115170836,0.7473325335513541,0.3584451013071194,0.03210462230767364,0.07760757444148454,0.4183099796250115,0.3771612745204483,0.19377219326707748,0.24790814787211407,0.014309963133065927,0.001837802274401764,0.0072535526926315345,0.002869175831380178
FF_FB_broad,FF_FB_narrow_familiar,2,76,1.0,FF_FB_narrow_familiar,0.5029846175047863,1.649057996147594,FF -> FF,unresponsive -> unresponsive,0.08840676676481962,0.0,0.809883713722229,0.3353614807128906,0.02938238717615605,0.08474048227071763,0.4470680356025696,0.39482828974723816,0.17755196988582608,0.23862981796264648,0.012340761721134188,0.001666227472014725,0.006802380550652742,0.0029493111651390782
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.0,FF_FB_broad,0.7480605914205014,1.5127291830218785,FF -> FF,FF -> FF,0.0353939848486334,0.07115467004477978,0.5,0.5,0.049999999999999996,0.049999999999999996,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.029999999999999995,0.003000000000000001,0.01,0.002499999999999999
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.16666666666666666,FF_FB_broad,0.510373832148807,1.5670608832039439,FF -> FF,FF -> FF,0.0638730874285102,0.06168786585330963,0.5418496300927976,0.4678003402612406,0.045760368856812665,0.05459549720537345,0.32062445844825727,0.314052621321677,0.2748876919214694,0.2887720553086614,0.025871684517380367,0.0027199239470259815,0.009377998394583786,0.0025698243489318947
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.3333333333333333,FF_FB_broad,0.4725627132468031,1.493822086660348,FF -> FF,FF -> FF,0.06742821168154478,0.052692551352083686,0.5872020432634032,0.43767431669706497,0.04188022715823102,0.05961336630203877,0.3426668111841276,0.32876349653005565,0.25187747723304227,0.2779643330906287,0.022311468658895293,0.0024659954258684663,0.008794685388881606,0.002641598873745295
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.5,FF_FB_broad,0.4996057882922115,1.3795932921831553,FF -> FF,FF -> FF,0.07161853332072496,0.04413318959996104,0.63635041986402,0.40948838854898595,0.03832909285135512,0.06509242746691724,0.3662245358803406,0.3441634596004803,0.2307933945453115,0.2675611058969407,0.019241175942078633,0.0022357733373587264,0.008247654545780117,0.0027153780423446925
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.6666666666666666,FF_FB_broad,0.5815964894868753,1.2448911571901637,FF -> FF,FF -> FF,0.07647457979619503,0.03597639976069331,0.6896124792254313,0.38311761499248553,0.03507906853650066,0.07107506883722108,0.39140181162366194,0.3602847888355598,0.21147421179093912,0.25754723490172665,0.01659338779056225,0.002027044480134732,0.007734649108940759,0.002791217843908965
FF_FB_broad,FF_FB_narrow_familiar,0,76,0.8333333333333333,FF_FB_narrow_familiar,1.048020561504849,0.6212418536549145,FF -> FF,unresponsive -> unresponsive,0.08205666020512581,0.028260294115170836,0.7473325335513541,0.3584451013071194,0.03210462230767364,0.07760757444148454,0.4183099796250115,0.3771612745204483,0.19377219326707748,0.24790814787211407,0.014309963133065927,0.001837802274401764,0.0072535526926315345,0.002869175831380178
FF_FB_broad,FF_FB_narrow_familiar,0,76,1.0,FF_FB_narrow_familiar,0.5029846175047863,1.649057996147594,FF -> FF,unresponsive -> unresponsive,0.08840676676481962,0.0,0.809883713722229,0.3353614807128906,0.02938238717615605,0.08474048227071763,0.4470680356025696,0.39482828974723816,0.17755196988582608,0.23862981796264648,0.012340761721134188,0.001666227472014725,0.006802380550652742,0.0029493111651390782
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.0,un_FB,1.9353805567437015,0.016384821489828783,FF -> FB,unresponsive -> unresponsive,-0.005027890112251049,0.0,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.16666666666666666,un_FB,0.5531172298775112,1.820370716033688,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0003786283092736996,0.0022738751248741894,0.08902836242882317,0.001291474885441979,0.01201806374256085,0.0003069857843073451,0.09713445901266841,0.030127143627213106,0.006394917313716023,0.0007684432518557309,0.00018124976064657028,0.002476997360700441
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.3333333333333333,un_FB,0.6302619086542035,1.8627727140097328,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0005526690087358024,0.005754278047664428,0.047558386420253534,0.002426514410427875,0.009383367332624395,0.00030163534638594415,0.04510016501948629,0.014257410375989998,0.007430737404796639,0.0006287579117747733,0.00028018996332978933,0.0014403256779712936
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.5,un_FB,0.7110458419225485,1.8635551776199013,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0008067094449512441,0.014561800464598896,0.025405388318879063,0.004559106994944869,0.007326270219981486,0.0002963781609453231,0.02094030177817345,0.006747196254137248,0.008634334999236848,0.000514464159408866,0.00043313941640912395,0.0008375213036306322
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.6666666666666666,un_FB,0.7018986890505239,1.8823007404330567,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0011775223837178167,0.03685015409654359,0.013571397270075756,0.008565972862980059,0.005720146449939266,0.00029121260269325327,0.009722719160151945,0.0031930523209536678,0.010032885946275287,0.00042094638709067945,0.0006695805653338687,0.00048700231118779856
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,0.8333333333333333,un_FB,0.6468453021862245,1.9077085283803843,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0017187836002593103,0.09325315645137937,0.007249754325752663,0.01609435601548061,0.004466130026096076,0.00028613707466463315,0.004514322136738158,0.0015110844179307623,0.011657967917606283,0.0003444279986545599,0.001035089665100677,0.0002831823501970955
