search_group,candidate_idx,target,backtest_success_rate,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1
standard,32,un_FB,1.0,0.3409859836101532,0.1297575682401657,0.10925592482089996,0.013749354518949986,0.6732177138328552,0.9068456292152405,0.00011248275404796004,0.0020966941956430674
standard,117,un_FB,1.0,0.11672716587781906,0.7010958790779114,0.07145480811595917,0.13254712522029877,0.27369365096092224,0.9120017886161804,0.23732976615428925,0.22132091224193573
standard,0,FF_FB_broad,1.0,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3
standard,105,FF_FB_broad,1.0,0.6513553261756897,0.4169582426548004,0.03792650252580643,0.042500823736190796,0.3746013939380646,0.16430175304412842,0.909532368183136,0.39446917176246643
standard,108,FF_FB_broad,1.0,0.20020867884159088,0.5663352012634277,0.05730486288666725,0.03366801515221596,0.061908163130283356,0.43218329548835754,0.10452745109796524,0.06981773674488068
standard,116,FF_FB_broad,0.3333333333333333,0.7831836342811584,0.5511573553085327,0.03966820612549782,0.04653673246502876,0.418948769569397,0.36546123027801514,0.19818677008152008,0.11723392456769943
standard,106,FF_FB_broad,0.6666666666666666,0.42174825072288513,0.28068459033966064,0.07537633925676346,0.21255193650722504,0.17927925288677216,0.17317241430282593,0.23648767173290253,0.18872448801994324
standard,4,FF_FB_narrow_familiar,1.0,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5
standard,128,FF_FB_narrow_familiar,1.0,0.8467457294464111,0.02941204234957695,0.006897310726344585,0.005535847041755915,0.1273573935031891,1.4880969524383545,0.13142935931682587,2.0
standard,131,FF_FB_narrow_familiar,1.0,1.1521884202957153,0.01490277424454689,0.010228734463453293,0.011130196042358875,0.25332939624786377,2.0,0.3802334666252136,2.0
standard,123,FF_FB_narrow_familiar,1.0,1.8121910095214844,0.007379885297268629,0.009462669491767883,0.006549219135195017,0.8408666253089905,2.0,0.15219636261463165,2.0
standard,13,FF_FB_narrow_familiar,1.0,0.4281701147556305,0.00016109658463392407,0.00012733765470329672,0.042887844145298004,0.010194380767643452,0.0052387830801308155,0.008311869576573372,0.2136784791946411
standard,61,FF_FB_narrow_familiar,1.0,0.3119363486766815,0.0008197955903597176,0.030238952487707138,0.06244023144245148,0.0004910426214337349,0.008680767379701138,0.00030369931482709944,0.028775492683053017
standard,124,FF_FB_narrow_familiar,1.0,0.6256418824195862,0.011471894569694996,0.029221517965197563,0.006930837873369455,0.3531833291053772,1.1359152793884277,0.8012503385543823,1.0020605325698853
standard,29,FF_FB_narrow_familiar,1.0,0.18991424143314362,0.008254795335233212,0.01327502727508545,0.0003901043673977256,0.00011711855040630326,0.46104544401168823,0.026305587962269783,0.00037014897679910064
standard,132,FF_FB_narrow_familiar,1.0,1.9900193214416504,0.017783379182219505,0.010703900828957558,0.009253650903701782,0.17552971839904785,1.8046656847000122,0.28983116149902344,0.7119609117507935
standard,8,FF_FB_narrow_familiar,0.0,1.444726824760437,0.034534282982349396,0.005981015041470528,0.05308292433619499,0.003904111450538039,0.00024642026983201504,0.10409379005432129,0.013007466681301594
standard,37,FF_FB_narrow_familiar,0.6666666666666666,1.848140835762024,0.0003733089833986014,0.4808516800403595,0.0012772980844601989,0.2564963698387146,0.03948453068733215,0.18756131827831268,1.3224140405654907
standard,5,FF_FB_narrow_novel,1.0,0.01,0.9,0.01,0.15,0.3,0.3,0.3,0.3
standard,140,FF_FB_narrow_novel,1.0,0.010396629571914673,1.2502063512802124,0.012669628486037254,0.06386151164770126,0.2777113914489746,0.5669507384300232,0.28787821531295776,0.48277297616004944
standard,12,FF_FB_narrow_novel,1.0,0.020053725689649582,1.247989535331726,0.044621530920267105,0.0026501137763261795,0.0001405337534379214,0.0008135060779750347,1.4552804231643677,0.11150427162647247
standard,143,FF_FB_narrow_novel,1.0,0.010572743602097034,0.8808400630950928,0.0040921797044575214,0.07285568863153458,0.22625142335891724,0.6380433440208435,0.28700414299964905,0.37969279289245605
standard,46,FF_FB_narrow_novel,1.0,0.00018923620518762618,1.3041436672210693,0.001093364437110722,0.03186134994029999,0.019971240311861038,0.00030080153374001384,0.00019827933283522725,1.2561030387878418
standard,44,FF_FB_narrow_novel,1.0,0.017738712951540947,0.12208090722560883,0.0077029443345963955,0.3371328115463257,0.00043472592369653285,0.04757728427648544,0.011872144415974617,0.000130631189676933
standard,30,FF_FB_narrow_novel,0.0,0.00013437436427921057,0.2977170944213867,0.06720231473445892,0.08443453162908554,0.3977852761745453,0.00014305759395938367,0.013746923767030239,0.06539586931467056
standard,36,FF_FB_narrow_novel,0.0,0.08012667298316956,0.5278320908546448,0.001220394973643124,0.02063356339931488,0.11276908963918686,0.25681930780410767,0.0015791699988767505,0.01791931502521038
standard,38,FF_FB_narrow_novel,1.0,0.0009228645358234644,0.04665650054812431,0.0001666376629145816,0.275710791349411,0.0002603638859000057,0.0017410360742360353,0.0005841120728291571,0.008573062717914581
standard,10,FF_FB_narrow_novel,1.0,0.0044634100049734116,0.36980876326560974,0.0004080279031768441,0.7663519382476807,1.2416164875030518,0.031236819922924042,0.4479473829269409,0.01986102946102619
standard,58,FF_FB_narrow_novel,1.0,0.009581392630934715,1.013717770576477,0.09695333242416382,0.5363594889640808,0.08071456104516983,0.014873824082314968,0.12176745384931564,0.5098932385444641
standard,138,FF_FB_narrow_novel,1.0,0.030440062284469604,2.0,0.02323870360851288,0.1114049106836319,0.2639131247997284,0.2702334523200989,0.19353188574314117,0.3763745427131653
