transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
post,familiar,2,2,103,Full,Pre,-0.0618493344560479
post,familiar,2,2,104,Full,Pre,-0.0956420716425128
post,familiar,2,2,105,Full,Pre,1.06859737297755
post,familiar,2,2,106,Full,Pre,-0.31646119422404
post,familiar,2,2,107,Full,Pre,0.518471581740925
post,familiar,2,2,108,Full,Pre,0.400423938663479
post,familiar,2,2,109,Full,Pre,-0.183489589170415
post,familiar,2,2,110,Full,Pre,0.277363568296644
post,familiar,2,2,111,Full,Pre,-0.0952200847652404
post,familiar,2,2,112,Full,Pre,0.462013494965366
post,familiar,2,2,113,Full,Pre,0.315933952310074
post,familiar,2,2,114,Full,Pre,0.0416654924705717
post,familiar,2,2,115,Full,Pre,2.54097779055685
post,familiar,2,2,116,Full,Pre,1.73000461842613
post,familiar,2,2,117,Full,Pre,0.170370333877498
post,familiar,2,2,118,Full,Pre,0.881441758831893
post,familiar,2,2,119,Full,Pre,0.156319038807713
post,familiar,2,2,120,Full,Pre,1.56523129607575
post,familiar,2,2,121,Full,Pre,0.545308342762171
post,familiar,2,2,122,Full,Pre,1.52312026072235
post,familiar,2,2,123,Full,Pre,0.644166220071502
post,familiar,2,2,124,Full,Pre,0.172795776918621
post,familiar,2,2,125,Full,Pre,-0.0456888617017106
post,familiar,2,2,126,Full,Pre,1.16461803074107
post,familiar,2,2,127,Full,Pre,0.138715139865249
post,familiar,2,2,128,Full,Pre,0.0383424736337533
post,familiar,2,2,129,Full,Pre,-0.0563643957748764
post,familiar,2,2,130,Full,Pre,0.129849391681028
post,familiar,2,2,131,Full,Pre,-0.246168937712194
post,familiar,2,2,132,Full,Pre,0.310669194967921
post,familiar,2,2,133,Full,Pre,-0.155085082129184
post,familiar,2,2,134,Full,Pre,0.0718154822873469
post,familiar,2,2,135,Full,Pre,1.80535940219285
post,familiar,2,2,136,Full,Pre,0.463803997349272
post,familiar,2,2,137,Full,Pre,0.158582760198747
post,familiar,2,2,138,Full,Pre,0.629759840270515
post,familiar,2,2,139,Full,Pre,0.340764354769492
post,familiar,2,2,140,Full,Pre,0.277745206763593
post,familiar,2,2,141,Full,Pre,0.00930761787460677
post,familiar,2,2,142,Full,Pre,5.40810455586613
post,familiar,2,2,143,Full,Pre,0.526798018826064
post,familiar,2,2,144,Full,Pre,-0.0964991891694965
post,familiar,2,2,145,Full,Pre,-0.106886457465326
post,familiar,2,2,146,Full,Pre,3.91310332618674
post,familiar,2,2,147,Full,Pre,0.0423639567932887
post,familiar,2,2,148,Full,Pre,2.28329753788563
post,familiar,2,2,149,Full,Pre,0.790389646693918
post,familiar,2,2,150,Full,Pre,-0.115818148291676
post,familiar,2,2,151,Full,Pre,0.254800317887068
post,familiar,2,2,152,Full,Pre,0.00995418000628195
post,familiar,2,2,153,Full,Pre,-0.153614626189169
post,familiar,2,2,154,Full,Pre,0.0990978208769632
post,familiar,2,2,155,Full,Pre,0.239535719960876
post,familiar,2,2,156,Full,Pre,0.21294571738388
post,familiar,2,2,157,Full,Pre,0.441884472916003
post,familiar,2,2,158,Full,Pre,-0.236210400198346
post,familiar,2,2,159,Full,Pre,0.0831728444522451
post,familiar,2,2,160,Full,Pre,3.52609314948455
post,familiar,2,2,161,Full,Pre,0.801381436183458
post,familiar,2,2,162,Full,Pre,0.0907382462566223
post,familiar,2,2,163,Full,Pre,2.76833101989502
post,familiar,2,2,164,Full,Pre,3.20869046803558
post,familiar,2,2,165,Full,Pre,0.35277002163104
post,familiar,2,2,166,Full,Pre,1.34205622568148
post,familiar,4,3,1,Full,Pre,0.333669309563325
post,familiar,4,3,2,Full,Pre,1.63910090674824
post,familiar,4,3,3,Full,Pre,0.305603687951334
post,familiar,4,3,4,Full,Pre,-0.0205096605775195
post,familiar,4,3,5,Full,Pre,3.28466465602429
post,familiar,4,3,6,Full,Pre,-0.32032877705531
post,familiar,4,3,7,Full,Pre,0.311723517571188
post,familiar,4,3,8,Full,Pre,0.408658060682041
post,familiar,4,3,9,Full,Pre,0.248345108455236
post,familiar,4,3,10,Full,Pre,-0.0242081740033993
post,familiar,4,3,11,Full,Pre,0.995308845456069
post,familiar,4,3,12,Full,Pre,1.24896795158436
post,familiar,4,3,13,Full,Pre,1.13606088853808
post,familiar,4,3,14,Full,Pre,-0.00783658091214606
post,familiar,4,3,15,Full,Pre,0.0982358349694861
post,familiar,4,3,16,Full,Pre,0.881172125370663
post,familiar,4,3,17,Full,Pre,0.237505072833419
post,familiar,4,3,18,Full,Pre,-0.195301121817795
post,familiar,4,3,19,Full,Pre,0.329805853230075
post,familiar,4,3,20,Full,Pre,0.18381006894398
post,familiar,4,3,21,Full,Pre,1.19320741691891
post,familiar,4,3,22,Full,Pre,2.61242346761178
post,familiar,4,3,23,Full,Pre,0.0825692029934491
post,familiar,4,3,24,Full,Pre,0.704605666746477
post,familiar,4,3,25,Full,Pre,0.641813221164298
post,familiar,4,3,26,Full,Pre,-0.210245699911022
post,familiar,4,3,27,Full,Pre,-0.176222877920532
post,familiar,4,3,28,Full,Pre,0.217611537631549
post,familiar,4,3,29,Full,Pre,-0.319371852362736
post,familiar,4,3,30,Full,Pre,0.00907650464541002
post,familiar,4,3,31,Full,Pre,-0.183274617079021
post,familiar,4,3,32,Full,Pre,-0.0392218346813781
post,familiar,4,3,33,Full,Pre,-0.000673943840723445
post,familiar,4,3,34,Full,Pre,-0.0118992132832184
post,familiar,4,3,35,Full,Pre,0.243973501288139
post,familiar,4,3,36,Full,Pre,0.0869990640023827
post,familiar,4,3,37,Full,Pre,-0.30249449657885
post,familiar,4,3,38,Full,Pre,0.621796069131867
post,familiar,4,3,39,Full,Pre,0.417735594647969
post,familiar,4,3,40,Full,Pre,-0.133129436318157
post,familiar,4,3,41,Full,Pre,-0.103611877022291
post,familiar,4,3,42,Full,Pre,-0.0127917307790165
post,familiar,4,3,43,Full,Pre,0.0464604671968041
post,familiar,4,3,44,Full,Pre,0.347138284878376
post,familiar,4,3,45,Full,Pre,1.17898945292324
post,familiar,4,3,46,Full,Pre,1.29482944226171
