transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
act,all,3,3,67,Full,Pre,0.856113687255615
act,all,3,3,68,Full,Pre,0.0654003245501711
act,all,3,3,69,Full,Pre,0.413908336856149
act,all,3,3,70,Full,Pre,0.547381038950364
act,all,3,3,71,Full,Pre,-0.0491138522138045
act,all,3,3,72,Full,Pre,0.210464363672111
act,all,3,3,73,Full,Pre,0.331829496630092
act,all,3,3,74,Full,Pre,0.287211836204205
act,all,3,3,75,Full,Pre,0.118102977933778
act,all,3,3,76,Full,Pre,-0.515918428977244
act,all,3,3,77,Full,Pre,0.309607552942126
act,all,3,3,78,Full,Pre,-0.084188979677656
act,all,3,3,79,Full,Pre,0.0172078865611224
act,all,3,3,80,Full,Pre,1.03506862644482
act,all,3,3,81,Full,Pre,0.424016754097336
act,all,3,3,82,Full,Pre,5.229233167805
act,all,3,3,83,Full,Pre,-0.0920893784427259
act,all,3,3,84,Full,Pre,3.10580081083488
act,all,3,3,85,Full,Pre,0.395304394780687
act,all,3,3,86,Full,Pre,1.40583522724728
act,all,3,3,87,Full,Pre,-0.238739065442026
act,all,3,3,88,Full,Pre,-0.36659476375935
act,all,3,3,89,Full,Pre,-0.180802273534641
act,all,3,3,90,Full,Pre,0.127375379739319
act,all,3,3,91,Full,Pre,1.26778832708272
act,all,3,3,92,Full,Pre,0.49392445675337
act,all,3,3,93,Full,Pre,-0.334353586627054
act,all,3,3,94,Full,Pre,-0.320686857942901
act,all,3,3,95,Full,Pre,0.8975877633393
act,all,3,3,96,Full,Pre,0.0356564918222849
act,all,3,3,97,Full,Pre,0.171654209758112
act,all,3,3,98,Full,Pre,0.210437152677042
act,all,3,3,99,Full,Pre,-0.0387899878283616
act,all,3,3,100,Full,Pre,0.147719146312968
act,all,3,3,101,Full,Pre,1.79745690621379
act,all,3,3,102,Full,Pre,0.0807875517615602
act,all,3,3,103,Full,Pre,0.72752004907709
act,all,3,3,104,Full,Pre,1.63762656077467
act,all,3,3,105,Full,Pre,0.00561212823497115
act,all,3,3,106,Full,Pre,0.293675201376151
act,all,3,3,107,Full,Pre,0.269734450485465
act,all,3,3,108,Full,Pre,2.15465406257226
act,all,3,3,109,Full,Pre,2.48093642535942
act,all,3,3,110,Full,Pre,0.764836208296473
act,all,4,4,1,Full,Pre,1.0591380000589
act,all,4,4,2,Full,Pre,0.158231657971322
act,all,4,4,3,Full,Pre,0.270285841141697
act,all,4,4,4,Full,Pre,1.64256798843801
act,all,4,4,5,Full,Pre,0.816547038026006
act,all,4,4,6,Full,Pre,0.514412672686504
act,all,4,4,7,Full,Pre,0.43773455422645
act,all,4,4,8,Full,Pre,1.32742036114658
act,all,4,4,9,Full,Pre,3.28000966606452
act,all,4,4,10,Full,Pre,-0.131223610986418
act,all,4,4,11,Full,Pre,0.127276754323059
act,all,4,4,12,Full,Pre,0.117028250094886
act,all,4,4,13,Full,Pre,4.64691918730441
act,all,4,4,14,Full,Pre,-0.223529773574927
act,all,4,4,15,Full,Pre,-0.0620511369843591
act,all,4,4,16,Full,Pre,-0.116252608185621
act,all,4,4,17,Full,Pre,0.042525354186339
act,all,4,4,18,Full,Pre,0.281415808001069
act,all,4,4,19,Full,Pre,-0.165864353188993
act,all,4,4,20,Full,Pre,-0.164260481832241
act,all,4,4,21,Full,Pre,1.40112145818935
act,all,4,4,22,Full,Pre,-0.290840037261541
act,all,4,4,23,Full,Pre,0.358296275760102
act,all,4,4,24,Full,Pre,-0.0478823187190657
act,all,4,4,25,Full,Pre,-0.15141456548809
act,all,4,4,26,Full,Pre,0.618165902501352
act,all,4,4,27,Full,Pre,0.201369394691489
act,all,4,4,28,Full,Pre,-0.251837887325577
act,all,4,4,29,Full,Pre,0.636255616433525
act,all,4,4,30,Full,Pre,-0.00518639953098748
act,all,4,4,31,Full,Pre,-0.343196072071385
act,all,4,4,32,Full,Pre,0.430047974439931
act,all,4,4,33,Full,Pre,0.189814902436001
act,all,4,4,34,Full,Pre,0.0312985461753424
act,all,4,4,35,Full,Pre,0.136121146890632
act,all,4,4,36,Full,Pre,0.395546033519996
act,all,4,4,37,Full,Pre,0.142378955288567
act,all,4,4,38,Full,Pre,0.211065980344484
act,all,4,4,39,Full,Pre,0.106100879591438
act,all,4,4,40,Full,Pre,0.373589163965944
act,all,4,4,41,Full,Pre,0.0247508159342324
act,all,4,4,42,Full,Pre,-0.0185143988562816
act,all,4,4,43,Full,Pre,0.67914209527461
act,all,4,4,44,Full,Pre,0.11290755806248
act,all,4,4,45,Full,Pre,-0.055369941396328
act,all,4,4,46,Full,Pre,-0.0364692366932153
act,all,4,4,47,Full,Pre,0.116614930381061
act,all,4,4,48,Full,Pre,-0.116510488290864
act,all,4,4,49,Full,Pre,-0.324179403666805
act,all,4,4,50,Full,Pre,0.0274952052700096
act,all,4,4,51,Full,Pre,0.0113547823242199
act,all,4,4,52,Full,Pre,0.168209370705867
act,all,4,4,53,Full,Pre,-0.363632812194561
act,all,4,4,54,Full,Pre,0.0194800742907293
act,all,4,4,55,Full,Pre,0.326213295556022
act,all,4,4,56,Full,Pre,1.15371139120154
act,all,4,4,57,Full,Pre,0.260562084050298
act,all,4,4,58,Full,Pre,0.395734785433854
act,all,4,4,59,Full,Pre,0.287942783207191
act,all,4,4,60,Full,Pre,0.36808345365567
act,all,4,4,61,Full,Pre,0.0192558476957003
act,all,4,4,62,Full,Pre,-0.362844842974568
act,all,4,4,63,Full,Pre,0.115791552986448
act,all,4,4,64,Full,Pre,0.190615609528944
act,all,4,4,65,Full,Pre,1.42096391467572
act,all,4,4,66,Full,Pre,0.254504145416812
act,all,4,4,67,Full,Pre,1.20964611337409
act,all,4,4,68,Full,Pre,0.454116263733317
act,all,4,4,69,Full,Pre,0.657306847480821
act,all,4,4,70,Full,Pre,0.0228452753366825
act,all,4,4,71,Full,Pre,-0.374482568454468
act,all,4,4,72,Full,Pre,0.513691311601952
act,all,4,4,73,Full,Pre,0.504264420613093
act,all,4,4,74,Full,Pre,-0.0779286376768611
act,all,4,4,75,Full,Pre,-0.260601049690954
act,all,4,4,76,Full,Pre,-0.750758205592629
act,all,4,4,77,Full,Pre,0.629515062699475
act,all,4,4,78,Full,Pre,0.733534187701355
act,all,4,4,79,Full,Pre,0.05632629856452
act,all,4,4,80,Full,Pre,2.85407372941539
act,all,4,4,81,Full,Pre,0.309217998334037
act,all,4,4,82,Full,Pre,0.666437390067421
act,all,4,4,83,Full,Pre,-0.272212404676259
act,all,4,4,84,Full,Pre,2.98909824333739
act,all,4,4,85,Full,Pre,0.667447234851738
act,all,4,4,86,Full,Pre,0.777490517118255
act,all,4,4,87,Full,Pre,0.213340836554822
act,all,4,4,88,Full,Pre,-0.360639525040603
act,all,4,4,89,Full,Pre,0.0849503252216827
act,all,4,4,90,Full,Pre,0.0167440508312355
act,all,4,4,91,Full,Pre,1.52926737794524
act,all,4,4,92,Full,Pre,1.43538241588469
act,all,4,4,93,Full,Pre,0.302979168650193
act,all,4,4,94,Full,Pre,-0.0413441345364429
act,all,4,4,95,Full,Pre,0.179298225235233
act,all,4,4,96,Full,Pre,-0.471404603672438
act,all,4,4,97,Full,Pre,0.215215316242384
act,all,4,4,98,Full,Pre,0.891632620965521
act,all,4,4,99,Full,Pre,0.148120848690134
act,all,4,4,100,Full,Pre,0.736763564217773
act,all,4,4,101,Full,Pre,-0.0870106208574284
act,all,4,4,102,Full,Pre,-0.0268658920043537
act,all,4,4,103,Full,Pre,0.343211827927191
act,all,4,4,104,Full,Pre,0.457315723379113
act,all,4,4,105,Full,Pre,3.33656031751316
act,all,4,4,106,Full,Pre,2.98961320515005
act,all,4,4,107,Full,Pre,0.232900584327371
act,all,4,4,108,Full,Pre,0.744299609912297
act,all,4,4,109,Full,Pre,0.31721370964854
act,all,4,4,110,Full,Pre,-0.0125397752413828
act,all,1,1,1,Full,Task,-0.17120636869806
act,all,1,1,2,Full,Task,-0.222625388812801
act,all,1,1,3,Full,Task,-0.0102533687573828
act,all,1,1,4,Full,Task,2.56766045208667
act,all,1,1,5,Full,Task,0.00100591465337213
act,all,1,1,6,Full,Task,2.10633891150856
act,all,1,1,7,Full,Task,1.91287149879788
act,all,1,1,8,Full,Task,0.200609288665454
act,all,1,1,9,Full,Task,0.742831933482154
act,all,1,1,10,Full,Task,-0.316698053662086
act,all,1,1,11,Full,Task,0.0864712904184567
act,all,1,1,12,Full,Task,2.26670907937243
act,all,1,1,13,Full,Task,0.111937097746967
act,all,1,1,14,Full,Task,-0.516454681862385
act,all,1,1,15,Full,Task,0.0852044568981819
act,all,1,1,16,Full,Task,-0.0837991903143965
act,all,1,1,17,Full,Task,-0.023915318567667
act,all,1,1,18,Full,Task,-0.259929131513269
act,all,1,1,19,Full,Task,0.0351581460317092
act,all,1,1,20,Full,Task,0.0469135330370844
act,all,1,1,21,Full,Task,0.43987485643882
act,all,1,1,22,Full,Task,-0.0322367905902615
act,all,1,1,23,Full,Task,0.793714779044363
act,all,1,1,24,Full,Task,0.145618844606289
act,all,1,1,25,Full,Task,0.458181057246515
act,all,1,1,26,Full,Task,0.0776911038059757
act,all,1,1,27,Full,Task,-0.119096177943279
act,all,1,1,28,Full,Task,-0.290065864894486
act,all,1,1,29,Full,Task,0.239824528132605
act,all,1,1,30,Full,Task,0.107486880081276
act,all,1,1,31,Full,Task,-0.11687955146228
act,all,1,1,32,Full,Task,-0.0644003867542493
act,all,1,1,33,Full,Task,-0.37641019900962
act,all,1,1,34,Full,Task,0.0619587173540802
act,all,1,1,35,Full,Task,0.171228020699061
act,all,1,1,36,Full,Task,2.76201915706354
act,all,1,1,37,Full,Task,-0.616724384764918
act,all,1,1,38,Full,Task,-0.226588438632562
act,all,1,1,39,Full,Task,-0.276108110098647
act,all,1,1,40,Full,Task,0.23551316439683
act,all,1,1,41,Full,Task,0.269036118048744
act,all,1,1,42,Full,Task,0.0031406284335895
act,all,1,1,43,Full,Task,-0.0605551251060699
act,all,1,1,44,Full,Task,2.1340544539108
act,all,1,1,45,Full,Task,0.252446452624498
act,all,1,1,46,Full,Task,0.465032680836096
act,all,1,1,47,Full,Task,0.229664236127319
act,all,1,1,48,Full,Task,0.294172150884171
act,all,1,1,49,Full,Task,-0.299073165412399
act,all,1,1,50,Full,Task,0.00362868051391305
act,all,1,1,51,Full,Task,-0.0704583203951769
act,all,1,1,52,Full,Task,0.174848069298276
act,all,1,1,53,Full,Task,-0.0381952041726952
act,all,1,1,54,Full,Task,0.0160384300947816
act,all,1,1,55,Full,Task,0.0157554798855343
act,all,1,1,56,Full,Task,0.383024987588308
act,all,1,1,57,Full,Task,0.282864864165023
act,all,1,1,58,Full,Task,1.26148239976771
act,all,1,1,59,Full,Task,0.0257415526780691
act,all,1,1,60,Full,Task,1.09920724645398
act,all,1,1,61,Full,Task,-0.00320947681703021
act,all,1,1,62,Full,Task,-0.314081772123262
act,all,1,1,63,Full,Task,0.010537023342849
act,all,1,1,64,Full,Task,0.0399614159353004
act,all,1,1,65,Full,Task,0.129569665252246
act,all,1,1,66,Full,Task,-0.20443034243084
act,all,1,1,67,Full,Task,-0.0226812385181962
act,all,1,1,68,Full,Task,0.118837439972338
act,all,1,1,69,Full,Task,0.303056796971842
act,all,1,1,70,Full,Task,0.0996511162265473
act,all,1,1,71,Full,Task,0.0389062837002002
act,all,1,1,72,Full,Task,-0.35870493020582
act,all,1,1,73,Full,Task,0.330723842519881
act,all,1,1,74,Full,Task,-0.122347388694294
act,all,1,1,75,Full,Task,0.0569081506709639
act,all,1,1,76,Full,Task,-0.0784123392542326
act,all,1,1,77,Full,Task,0.31189666242328
act,all,1,1,78,Full,Task,0.0372901635101932
act,all,1,1,79,Full,Task,-0.357662817517955
act,all,1,1,80,Full,Task,0.174907535372231
act,all,1,1,81,Full,Task,-0.0250543309511971
act,all,1,1,82,Full,Task,0.8833130336812
act,all,1,1,83,Full,Task,-0.133175531432069
act,all,1,1,84,Full,Task,0.15017321481877
act,all,1,1,85,Full,Task,-0.107243369207092
act,all,1,1,86,Full,Task,0.412472798082461
act,all,1,1,87,Full,Task,-0.174189236549475
act,all,1,1,88,Full,Task,-0.134278820474659
act,all,1,1,89,Full,Task,-0.0855117302972798
act,all,1,1,90,Full,Task,0.522341775089027
act,all,1,1,91,Full,Task,-0.0622057842706962
act,all,1,1,92,Full,Task,-0.013735382094371
act,all,1,1,93,Full,Task,0.0636931946596754
act,all,1,1,94,Full,Task,0.452333759445341
act,all,1,1,95,Full,Task,-0.59385253643843
act,all,1,1,96,Full,Task,0.00658706213254079
act,all,1,1,97,Full,Task,0.117420955296742
act,all,1,1,98,Full,Task,0.218331815063857
act,all,1,1,99,Full,Task,0.11166982849645
act,all,1,1,100,Full,Task,-0.175179059134618
act,all,1,1,101,Full,Task,0.563204662439705
act,all,1,1,102,Full,Task,-0.234568093349127
act,all,1,1,103,Full,Task,-0.19137194345702
act,all,1,1,104,Full,Task,0.393890436627016
act,all,1,1,105,Full,Task,-0.13687892330042
act,all,1,1,106,Full,Task,0.0413118379027059
act,all,1,1,107,Full,Task,0.269298929282967
act,all,1,1,108,Full,Task,0.0772818652831324
