image_type,context_mode,context_label,transition_label_a,transition_label_b,edge_count,median_log10_param_distance,median_mid_naive_state,median_mid_expert_state,median_left_purity,median_right_purity
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FB,91,3.873492502247481,0.0041157851964235,-0.01920822601905085,0.25,0.08333333333333333
novel,1,"ctx=(F,T)",FB -> FB,FF -> FB,80,3.8207531038039884,-0.001668520786799475,-0.013285249820910375,0.20833333333333334,0.08333333333333333
novel,1,"ctx=(F,T)",FF -> FB,unresponsive -> FF,69,3.812374196827046,0.00504480940476055,-0.00029342740867285,0.2916666666666667,0.08333333333333333
novel,1,"ctx=(F,T)",FB -> FF,FF -> FF,62,3.666385824305487,0.002296896755695325,0.003639423234388175,0.041666666666666664,0.4166666666666667
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FF,40,3.625455797445153,-0.0001904567002784,0.00184456994850185,0.08333333333333333,0.0625
novel,1,"ctx=(F,T)",unresponsive -> FB,unresponsive -> unresponsive,24,4.166372188191572,0.0,-0.0179490897648502,0.125,0.125
novel,1,"ctx=(F,T)",FB -> FF,unresponsive -> FB,23,3.7447643593842765,-0.0002337709087878,-0.0027664591465145,0.041666666666666664,0.25
novel,1,"ctx=(F,T)",unresponsive -> FF,unresponsive -> unresponsive,16,4.379817398550498,0.0,0.00154354099277405,0.041666666666666664,0.2916666666666667
novel,1,"ctx=(F,T)",FB -> FB,FB -> FF,15,3.8327798261859143,-0.01206160812266165,-0.015434121493250099,0.041666666666666664,0.20833333333333334
novel,1,"ctx=(F,T)",FF -> FF,unresponsive -> unresponsive,5,4.223833172626925,0.04560123736597595,0.0463816261263564,0.041666666666666664,0.5833333333333334
novel,1,"ctx=(F,T)",FB -> FF,FF -> FB,3,3.7565969134081363,0.00420141481421885,-0.00139822091534735,0.0,0.041666666666666664
novel,1,"ctx=(F,T)",FB -> FB,unresponsive -> unresponsive,1,4.671376744705135,-0.01181467522680755,-0.0114570233672857,0.16666666666666666,0.041666666666666664
familiar,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,3425,3.7707739811686363,0.0378402417562902,0.0,0.5416666666666666,0.5416666666666666
familiar,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,1120,3.7984369620920804,0.28939048891863783,0.0214872491927817,0.2916666666666667,0.2916666666666667
familiar,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,818,3.8386913513389445,0.19803935419023036,0.0189013577569276,0.2916666666666667,0.5
novel,0,"ctx=(F,F)",FF -> FF,unresponsive -> unresponsive,4016,3.7805220356466442,0.05640776077657935,0.05385969530418515,0.5833333333333334,0.625
novel,0,"ctx=(F,F)",FF -> unresponsive,unresponsive -> unresponsive,280,3.8327132650861966,0.01411595858633515,0.0,0.5833333333333334,0.041666666666666664
novel,0,"ctx=(F,F)",FF -> FF,FF -> unresponsive,163,3.8043744046869064,0.1031302567757666,0.0860015538148582,0.4583333333333333,0.0
novel,0,"ctx=(F,F)",unresponsive -> FF,unresponsive -> unresponsive,24,3.6041053364941558,0.0,0.0126857442022301,0.7291666666666667,0.0
novel,0,"ctx=(F,F)",FF -> FF,unresponsive -> FF,14,3.7020284797670113,0.0693993223644793,0.0817978795827366,0.5,0.0
