transition,transition_label,transition_row,experiment_phase,phase_label,phase_index,condition,condition_label,condition_index,image_type,trace_label,trace_index,y,y_sem,y_raw_mean,trial_step,relative_step,baseline_mean,baseline_std,baseline_n,n_trials,trial_len,stim_start,stim_end
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.45622578907711686,0.288539063721986,0.040277496352791785,50.0,-40.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3180340615764631,0.2803798342509475,0.03861627429723739,51.0,-39.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3110221463442479,0.2792363953991321,0.03853198308497667,52.0,-38.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.23899311153450326,0.27602621137106453,0.03766611199826002,53.0,-37.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.25475658370370013,0.2667033887371805,0.03785560689866543,54.0,-36.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.2801483830561908,0.26142802380520785,0.038160845264792444,55.0,-35.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.32192288663802876,0.28983605808705754,0.03866302240639925,56.0,-34.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.24799408741033604,0.28790603690633865,0.03777431398630142,57.0,-33.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.32558878877773023,0.2624238200015922,0.03870709072798491,58.0,-32.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.26853648036963806,0.2617445789528302,0.03802125696092844,59.0,-31.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.3464216462600926,0.3125411326723207,0.03895752541720867,60.0,-30.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.36673395772451983,0.27785300053391215,0.0392017025500536,61.0,-29.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.41223095026128487,0.2518128159590806,0.03974862825125456,62.0,-28.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.49741947207606174,0.25574508343366326,0.0407726913690567,63.0,-27.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.5361792712409474,0.2622000453909524,0.04123862832784653,64.0,-26.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.4816405826338229,0.2788604472177065,0.040583011135458945,65.0,-25.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,0.4813555567668809,0.2780096416568512,0.040579584799706934,66.0,-24.0,0.03479314242774207,0.012021139655747701,900,10,120,90.0,120.0
