transition,transition_label,transition_row,experiment_phase,phase_label,phase_index,condition,condition_label,condition_index,image_type,trace_label,trace_index,step,y,y_raw,y_baseline_zscore,baseline_mean,baseline_std,baseline_n,plot_window_start,plot_window_end,stim_start,stim_end,experiment_series,seed
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1062.0,-2.067984601910802,0.023455969989299774,-2.067984601910802,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1063.0,-2.201737264117676,0.022283170372247696,-2.201737264117676,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1064.0,-2.328802102030333,0.021169012412428856,-2.328802102030333,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1065.0,-2.4495136874260313,0.020110562443733215,-2.4495136874260313,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1066.0,-2.5641898103865333,0.019105033949017525,-2.5641898103865333,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1067.0,-2.673132116577684,0.018149781972169876,-2.673132116577684,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1068.0,-2.7766273818085607,0.017242291942238808,-2.7766273818085607,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1069.0,-2.874947724458,0.016380177810788155,-2.874947724458,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1070.0,-2.968352092460272,0.015561169013381004,-2.968352092460272,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1071.0,-3.0570862633050835,0.014783110469579697,-3.0570862633050835,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1072.0,-3.141383693743675,0.014043955132365227,-3.141383693743675,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1073.0,-3.221466263281664,0.013341757468879223,-3.221466263281664,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1074.0,-3.29754469903209,0.012674669735133648,-3.29754469903209,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1075.0,-3.3698192129949947,0.012040936388075352,-3.3698192129949947,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1076.0,-3.438480033123733,0.011438889428973198,-3.438480033123733,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1077.0,-3.5037078281780234,0.010866944678127766,-3.5037078281780234,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1078.0,-3.5656742387902627,0.010323597118258476,-3.5656742387902627,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1079.0,-3.6245423023185745,0.009807417169213295,-3.6245423023185745,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1080.0,-3.680466983913123,0.009317046031355858,-3.680466983913123,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
un_un,un -> un,0,naive,Naive,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1081.0,-3.406020941426858,0.011723504401743412,-3.406020941426858,0.04158892905847593,0.008768420737959769,44,1005.0,1125.0,1050.0,1080.0,training_familiar,42
